country,normalized_job_title,rural,uuid
Austria,automatic data processing planner,City,54f0f1c0-dda1-0133-a559-0a81e8b09a82
Austria,automatic data processing planner,Rural,cf24ed60-da3f-0133-0034-0a81e8b09a82
Belgium,automatic data processing planner,Rural,9ffc7390-dba5-0133-259b-0a81e8b09a82
Belgium,automatic data processing planner,City,a6361230-da58-0133-cd5a-0a81e8b09a82
Bulgaria,automatic data processing planner,City,1e2b4750-d987-0133-3c7c-0a81e8b09a82
Czechia,automatic data processing planner,City,c878db70-d9a7-0133-5c31-0a81e8b09a82
Czechia,automatic data processing planner,City,cb5b3bb0-d952-0133-68a1-0a81e8b09a82
Germany,automatic data processing planner,City,28de2470-dcc0-0133-4e03-0a81e8b09a82
Germany,automatic data processing planner,City,02125970-de61-0133-ffbb-0a81e8b09a82
Germany,automatic data processing planner,Rural,cf948390-da7a-0133-872a-0a81e8b09a82
Germany,automatic data processing planner,City,75735db0-da5a-0133-3e20-0a81e8b09a82
Germany,automatic data processing planner,Rural,4fd34040-da47-0133-1219-0a81e8b09a82
Germany,automatic data processing planner,City,36e08e00-db8f-0133-dd8a-0a81e8b09a82
Germany,automatic data processing planner,Rural,7fa98ad0-dcbe-0133-3364-0a81e8b09a82
Germany,automatic data processing planner,City,fa27a1e0-da4f-0133-c3c3-0a81e8b09a82
Germany,automatic data processing planner,Rural,a170e9b0-dcb9-0133-0bdc-0a81e8b09a82
Denmark,automatic data processing planner,City,d377f070-d971-0133-f4e9-0a81e8b09a82
Denmark,automatic data processing planner,Rural,c0542710-d957-0133-662d-0a81e8b09a82
Spain,automatic data processing planner,City,33a4bd30-d97d-0133-0b6d-0a81e8b09a82
Spain,automatic data processing planner,City,5c4c2ed0-d8c1-0133-c39f-0a81e8b09a82
Spain,automatic data processing planner,City,03926a40-da13-0133-951a-0a81e8b09a82
Spain,automatic data processing planner,City,0e6f0650-d9c0-0133-c743-0a81e8b09a82
Spain,automatic data processing planner,City,2421f5a0-da37-0133-7b29-0a81e8b09a82
Spain,automatic data processing planner,City,6e2b83b0-da2b-0133-469e-0a81e8b09a82
Spain,automatic data processing planner,City,21c3cc70-d9a2-0133-fbc7-0a81e8b09a82
Spain,automatic data processing planner,Rural,a7d05190-d947-0133-174c-0a81e8b09a82
Spain,automatic data processing planner,City,428ce3e0-dc12-0133-63d6-0a81e8b09a82
France,automatic data processing planner,City,5048a930-dcc4-0133-f5c4-0a81e8b09a82
France,automatic data processing planner,City,4c525120-da48-0133-559e-0a81e8b09a82
France,automatic data processing planner,Rural,5318a790-da7b-0133-897e-0a81e8b09a82
France,automatic data processing planner,City,06893010-d9a2-0133-fb2f-0a81e8b09a82
France,automatic data processing planner,City,bb3dda50-dab3-0133-97b5-0a81e8b09a82
France,automatic data processing planner,City,5534d920-def9-0133-0c00-0a81e8b09a82
France,automatic data processing planner,City,85051200-dcbd-0133-5bd8-0a81e8b09a82
France,automatic data processing planner,Rural,a2de5bb0-da6c-0133-7cb8-0a81e8b09a82
France,automatic data processing planner,Rural,581e88a0-db43-0133-8914-0a81e8b09a82
France,automatic data processing planner,City,c454bff0-da74-0133-2bf3-0a81e8b09a82
France,automatic data processing planner,Rural,c745f0f0-da61-0133-33fa-0a81e8b09a82
France,automatic data processing planner,Rural,ca9e3780-db0f-0133-eb0b-0a81e8b09a82
France,automatic data processing planner,City,63bdf260-dbb9-0133-56e2-0a81e8b09a82
Great Britain,automatic data processing planner,City,2ca1a290-dbeb-0133-3901-0a81e8b09a82
Great Britain,automatic data processing planner,City,5520dbc0-d8d7-0133-1c73-0a81e8b09a82
Great Britain,automatic data processing planner,Rural,03797d30-da87-0133-e6a4-0a81e8b09a82
Great Britain,automatic data processing planner,City,f71993c0-d8d7-0133-8f3e-0a81e8b09a82
Great Britain,automatic data processing planner,City,cb924150-dad8-0133-383d-0a81e8b09a82
Great Britain,automatic data processing planner,Rural,a4086b00-db39-0133-4bcc-0a81e8b09a82
Great Britain,automatic data processing planner,City,a8731120-dc9d-0133-c641-0a81e8b09a82
Great Britain,automatic data processing planner,City,ac96bb40-d8cc-0133-6227-0a81e8b09a82
Great Britain,automatic data processing planner,Rural,e5976db0-dbcb-0133-9eb4-0a81e8b09a82
Greece,automatic data processing planner,City,2429ba30-da44-0133-678c-0a81e8b09a82
Hungary,automatic data processing planner,City,3b569560-d93a-0133-bc22-0a81e8b09a82
Italy,automatic data processing planner,Rural,939dddb0-dd90-0133-ba03-0a81e8b09a82
Italy,automatic data processing planner,City,0adca270-de31-0133-3a35-0a81e8b09a82
Italy,automatic data processing planner,City,37289a70-da77-0133-7868-0a81e8b09a82
Italy,automatic data processing planner,Rural,431c93c0-de08-0133-0798-0a81e8b09a82
Italy,automatic data processing planner,City,d8899640-d989-0133-9ea0-0a81e8b09a82
Italy,automatic data processing planner,City,4aff1180-de6b-0133-7357-0a81e8b09a82
Italy,automatic data processing planner,City,f5a1e720-d8ca-0133-5cdc-0a81e8b09a82
Netherlands,automatic data processing planner,City,e886d110-d8ce-0133-6888-0a81e8b09a82
Netherlands,automatic data processing planner,City,1578d0d0-da23-0133-ec2e-0a81e8b09a82
Netherlands,automatic data processing planner,City,8cd63d30-dbea-0133-3713-0a81e8b09a82
Poland,automatic data processing planner,City,5ca19490-d9b7-0133-9b11-0a81e8b09a82
Poland,automatic data processing planner,Rural,07b06830-dca7-0133-ba4b-0a81e8b09a82
Poland,automatic data processing planner,City,e97b1ff0-dafd-0133-5e5c-0a81e8b09a82
Poland,automatic data processing planner,City,4d0f5630-daec-0133-865f-0a81e8b09a82
Poland,automatic data processing planner,City,018fcea0-da71-0133-c56b-0a81e8b09a82
Poland,automatic data processing planner,City,74fec3c0-db5b-0133-dab4-0a81e8b09a82
Portugal,automatic data processing planner,City,30e31d40-d8f4-0133-aad0-0a81e8b09a82
Romania,automatic data processing planner,City,471cc810-da09-0133-211f-0a81e8b09a82
Romania,automatic data processing planner,City,c1752e30-dcbf-0133-4bf1-0a81e8b09a82
Romania,automatic data processing planner,City,bb10e7a0-da65-0133-a476-0a81e8b09a82
Sweden,automatic data processing planner,City,51f65820-da04-0133-04d2-0a81e8b09a82
Sweden,automatic data processing planner,City,47ae72b0-dcbd-0133-5a9a-0a81e8b09a82
Sweden,automatic data processing planner,City,0f305680-d8a6-0133-625f-0a81e8b09a82
Sweden,automatic data processing planner,City,6bcc8a30-da16-0133-9ea0-0a81e8b09a82
Slovenia,automatic data processing planner,City,2a2467b0-d9e8-0133-262a-0a81e8b09a82
Slovakia,automatic data processing planner,City,b8759640-daca-0133-7419-0a81e8b09a82
Slovakia,automatic data processing planner,Rural,c1ba5eb0-d9a8-0133-0c3b-0a81e8b09a82
Austria,data coordinator,Rural,15626d40-db13-0133-ea5c-0a81e8b09a82
Austria,data coordinator,Rural,ca3f65f0-d92b-0133-3959-0a81e8b09a82
Belgium,data coordinator,City,ce2197d0-da69-0133-065d-0a81e8b09a82
Bulgaria,data coordinator,City,1d7b3a20-da0e-0133-fab7-0a81e8b09a82
Czechia,data coordinator,City,e40fcb30-d981-0133-737c-0a81e8b09a82
Germany,data coordinator,Rural,44d3b9d0-d95f-0133-78c7-0a81e8b09a82
Germany,data coordinator,City,8a03ccf0-d9b8-0133-d7b9-0a81e8b09a82
Germany,data coordinator,Rural,55f7e900-daee-0133-0e69-0a81e8b09a82
Germany,data coordinator,City,3455e250-d9fa-0133-08a9-0a81e8b09a82
Germany,data coordinator,City,0d4ed070-dbe0-0133-4716-0a81e8b09a82
Germany,data coordinator,City,1b4dc8a0-db48-0133-4171-0a81e8b09a82
